game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,home_perc,away_perc,home_team_id,away_team_id,home_scored_avg,home_conceded_avg,away_scored_avg,away_conceded_avg
0,2,0,4,3,1,1,3,1,1,4,1,4,3,0,0.9130611167499265,0.9225435622706853,3,5,3.046511627906977,2.5348837209302326,2.7884615384615383,2.326923076923077
2,6,0,3,2,0,4,0,0,4,1,1,4,5,0,0.9083057879185725,0.899675032253268,18,10,3.0638297872340425,2.404255319148936,2.1219512195121952,3.048780487804878
3,4,0,1,3,0,2,3,1,5,3,1,3,0,0,0.907985810307178,0.9145988321147641,52,24,2.731707317073171,2.8780487804878048,2.522727272727273,2.5
3,2,1,4,3,1,2,3,0,4,3,0,2,3,0,0.9107806248996554,0.9196060864357388,21,19,2.6341463414634148,3.073170731707317,2.9215686274509802,2.607843137254902
5,1,0,5,2,0,5,2,1,4,1,1,4,3,0,0.9319482607372368,0.9113232447716941,16,29,2.977272727272727,2.1363636363636362,2.4146341463414633,3.024390243902439
4,6,1,1,2,0,1,3,1,2,1,1,4,2,0,0.9248649447850572,0.9187198551706949,4,1,2.5,2.4318181818181817,2.2439024390243905,2.6097560975609757
1,2,1,2,3,1,3,2,0,1,0,1,3,1,1,0.9126606183018093,0.916512110745902,23,26,2.341463414634146,2.8780487804878048,2.86046511627907,2.4651162790697674
4,3,1,2,3,0,4,3,0,2,1,1,2,4,0,0.9192448990071995,0.8951566529432085,14,8,2.96,2.42,2.8292682926829267,3.2439024390243905
4,3,0,0,1,1,4,0,1,3,4,0,5,3,0,0.8945393405355543,0.9202419891891026,20,28,3.1463414634146343,3.048780487804878,3.056603773584906,2.4150943396226414
5,4,0,2,1,1,4,1,0,2,5,0,1,0,0,0.9083057879185725,0.9104782517150444,18,30,3.0638297872340425,2.404255319148936,2.5,2.75
2,3,0,1,4,0,3,0,1,2,3,0,4,1,0,0.9067779225939343,0.9177414663690299,53,15,2.975609756097561,2.7560975609756095,2.9361702127659575,2.404255319148936
2,5,0,4,6,1,4,6,1,1,4,0,2,0,0,0.907985810307178,0.9056603091302774,52,9,2.731707317073171,2.8780487804878048,2.8536585365853657,3.3658536585365852
3,4,0,5,4,0,4,5,0,4,2,1,3,4,0,0.9153287942272692,0.899675032253268,17,10,2.627906976744186,2.4651162790697674,2.1219512195121952,3.048780487804878
0,2,1,4,0,1,3,2,0,8,0,1,7,3,0,0.9034911437261264,0.9224099924262099,6,13,2.707317073170732,3.1463414634146343,2.7045454545454546,2.4318181818181817
2,5,0,3,0,0,2,5,1,1,2,0,1,4,1,0.8981080813867579,0.9025021519645315,12,25,2.6097560975609757,2.7804878048780486,3.127659574468085,3.0638297872340425
6,4,1,4,7,0,3,6,0,2,3,1,0,3,0,0.9319482607372368,0.9194916324780823,16,6,2.977272727272727,2.1363636363636362,3.1463414634146343,2.4634146341463414
3,4,0,3,5,1,2,0,0,5,4,1,2,1,0,0.9192448990071995,0.9025021519645315,14,25,2.96,2.42,3.127659574468085,3.0638297872340425
2,3,1,1,2,1,2,1,0,2,0,1,3,0,0,0.9193838033455951,0.9009408053338067,19,18,2.588235294117647,2.4313725490196076,2.3469387755102042,2.9591836734693877
4,2,0,0,5,1,2,4,0,2,3,1,2,3,0,0.906104742590348,0.9145988321147641,22,24,2.658536585365854,2.7804878048780486,2.522727272727273,2.5
2,3,1,7,0,1,1,4,0,5,2,0,3,0,0,0.9130611167499265,0.9105075783694794,3,4,3.046511627906977,2.5348837209302326,2.5,2.840909090909091
2,1,1,2,5,1,4,3,0,5,3,0,1,5,0,0.9092124267427114,0.915196520983573,7,2,2.3658536585365852,2.731707317073171,2.5319148936170213,2.8085106382978724
3,2,0,2,1,0,2,1,0,3,4,0,2,4,1,0.9026949599537822,0.9177414663690299,29,15,2.926829268292683,3.1219512195121952,2.9361702127659575,2.404255319148936
1,4,0,3,2,1,5,4,1,3,5,0,2,3,0,0.9148083825741585,0.9009654022652572,5,12,3.2037037037037037,2.537037037037037,2.2195121951219514,2.731707317073171
3,2,0,5,4,0,3,2,0,4,3,0,6,1,1,0.9126606183018093,0.9202419891891026,23,28,2.341463414634146,2.8780487804878048,3.056603773584906,2.4150943396226414
2,4,1,3,1,0,1,0,1,4,3,0,1,4,1,0.9151413168062876,0.9134396965739326,30,21,2.7954545454545454,2.409090909090909,2.6341463414634148,2.7804878048780486
2,1,0,1,2,0,2,0,0,7,5,0,5,3,1,0.9153287942272692,0.9056603091302774,17,9,2.627906976744186,2.4651162790697674,2.8536585365853657,3.3658536585365852
2,3,1,2,3,0,4,3,0,2,4,0,3,1,0,0.9083551655837222,0.8992884428555972,26,53,2.5681818181818183,2.3863636363636362,2.1219512195121952,3.2195121951219514
2,3,1,3,2,1,3,1,0,2,1,0,1,6,0,0.9147857380463367,0.8951566529432085,13,8,3.0454545454545454,2.522727272727273,2.8292682926829267,3.2439024390243905
3,2,1,2,3,0,1,2,1,6,2,1,3,1,1,0.9092124267427114,0.899675032253268,7,10,2.3658536585365852,2.731707317073171,2.1219512195121952,3.048780487804878
4,5,0,2,3,0,1,0,1,5,2,1,1,3,0,0.8945393405355543,0.9145988321147641,20,24,3.1463414634146343,3.048780487804878,2.522727272727273,2.5
6,4,0,2,1,1,3,1,0,1,2,0,2,4,1,0.9130675882992386,0.9105075783694794,1,4,2.2439024390243905,2.4634146341463414,2.5,2.840909090909091
4,1,1,4,3,0,5,2,1,1,6,0,4,5,0,0.9034911437261264,0.926569957772793,6,14,2.707317073170732,3.1463414634146343,2.5918367346938775,2.4489795918367347
5,2,0,1,4,0,1,4,1,4,2,1,7,2,0,0.9148083825741585,0.9113232447716941,5,29,3.2037037037037037,2.537037037037037,2.4146341463414633,3.024390243902439
2,4,0,4,5,0,7,1,1,1,4,1,2,3,1,0.9062581768588011,0.9177414663690299,10,15,2.707317073170732,2.951219512195122,2.9361702127659575,2.404255319148936
3,1,0,4,2,0,2,3,0,5,7,1,3,5,0,0.9188338152515514,0.9126440104067317,9,17,2.902439024390244,2.658536585365854,2.409090909090909,2.9545454545454546
5,4,0,3,1,0,4,3,0,3,1,0,5,0,1,0.9083057879185725,0.915196520983573,18,2,3.0638297872340425,2.404255319148936,2.5319148936170213,2.8085106382978724
1,0,0,3,2,0,2,1,0,4,3,0,3,2,0,0.9193838033455951,0.9040915163929594,19,52,2.588235294117647,2.4313725490196076,2.5121951219512195,2.951219512195122
4,5,1,2,3,1,3,4,1,1,6,0,2,4,0,0.9062806767797283,0.9150215194265979,28,23,2.9056603773584904,2.6037735849056602,2.317073170731707,3.048780487804878
5,4,1,3,2,1,0,1,0,2,5,0,1,6,0,0.9241089175725934,0.8989572246030405,24,20,2.7777777777777777,2.1333333333333333,2.4878048780487805,3.292682926829268
1,2,0,0,3,1,3,1,0,3,2,1,4,8,0,0.9083551655837222,0.9022412518068254,26,22,2.5681818181818183,2.3863636363636362,2.292682926829268,3.1951219512195124
3,2,1,3,4,1,3,5,1,1,2,0,1,5,0,0.9151413168062876,0.9009654022652572,30,12,2.7954545454545454,2.409090909090909,2.2195121951219514,2.731707317073171
3,6,0,1,3,0,4,1,1,3,2,0,2,3,0,0.898618516479266,0.8992884428555972,25,53,3.2291666666666665,2.6666666666666665,2.1219512195121952,3.2195121951219514
1,3,1,4,3,1,7,5,1,4,0,0,1,2,0,0.9107806248996554,0.9021299105270519,21,16,2.6341463414634148,3.073170731707317,2.7555555555555555,2.977777777777778
2,3,1,1,2,1,3,2,0,3,4,1,4,7,0,0.9092124267427114,0.8951566529432085,7,8,2.3658536585365852,2.731707317073171,2.8292682926829267,3.2439024390243905
3,1,0,7,4,0,3,4,0,1,4,0,1,2,1,0.9147857380463367,0.9196060864357388,13,19,3.0454545454545454,2.522727272727273,2.9215686274509802,2.607843137254902
2,3,1,5,3,0,4,6,0,3,4,0,2,1,1,0.9026949599537822,0.9040915163929594,29,52,2.926829268292683,3.1219512195121952,2.5121951219512195,2.951219512195122
0,1,1,3,1,0,5,2,0,5,3,1,4,0,0,0.9034911437261264,0.9056603091302774,6,9,2.707317073170732,3.1463414634146343,2.8536585365853657,3.3658536585365852
5,3,0,1,2,1,4,1,0,0,6,1,4,1,1,0.9233300130769075,0.9142779951988452,15,3,3.0425531914893615,2.1702127659574466,2.6136363636363638,2.9318181818181817
3,2,1,7,1,0,2,6,1,7,3,1,0,2,0,0.9062581768588011,0.926569957772793,10,14,2.707317073170732,2.951219512195122,2.5918367346938775,2.4489795918367347
3,2,1,3,4,1,4,2,0,1,0,0,2,1,0,0.8981080813867579,0.915196520983573,12,2,2.6097560975609757,2.7804878048780486,2.5319148936170213,2.8085106382978724
1,3,1,3,1,1,5,2,1,2,4,0,1,4,0,0.9130675882992386,0.9225435622706853,1,5,2.2439024390243905,2.4634146341463414,2.7884615384615383,2.326923076923077
3,0,0,4,1,0,1,3,0,4,3,0,3,0,0,0.9083551655837222,0.8989572246030405,26,20,2.5681818181818183,2.3863636363636362,2.4878048780487805,3.292682926829268
1,4,0,3,4,0,3,2,1,3,4,1,1,2,0,0.910303926790141,0.926569957772793,8,14,2.5609756097560976,2.5121951219512195,2.5918367346938775,2.4489795918367347
6,3,1,4,1,0,3,2,0,1,2,0,5,3,0,0.898618516479266,0.9009408053338067,25,18,3.2291666666666665,2.6666666666666665,2.3469387755102042,2.9591836734693877
3,1,1,5,6,1,2,1,1,1,4,0,2,1,0,0.9241089175725934,0.9021299105270519,24,16,2.7777777777777777,2.1333333333333333,2.7555555555555555,2.977777777777778
4,3,0,6,1,0,3,2,0,2,3,1,3,2,0,0.9062806767797283,0.9022412518068254,28,22,2.9056603773584904,2.6037735849056602,2.292682926829268,3.1951219512195124
0,3,0,3,4,0,2,1,0,4,3,0,3,2,0,0.9067779225939343,0.9150215194265979,53,23,2.975609756097561,2.7560975609756095,2.317073170731707,3.048780487804878
1,3,1,0,1,0,3,4,1,4,1,0,3,1,0,0.9107806248996554,0.9104782517150444,21,30,2.6341463414634148,3.073170731707317,2.5,2.75
3,5,0,4,1,0,3,5,0,3,4,1,4,1,1,0.9034911437261264,0.9177414663690299,6,15,2.707317073170732,3.1463414634146343,2.9361702127659575,2.404255319148936
1,0,1,3,7,0,4,2,1,2,7,0,1,3,0,0.9153287942272692,0.8951566529432085,17,8,2.627906976744186,2.4651162790697674,2.8292682926829267,3.2439024390243905
4,2,0,1,4,0,2,1,0,2,3,0,2,0,1,0.8981080813867579,0.9196060864357388,12,19,2.6097560975609757,2.7804878048780486,2.9215686274509802,2.607843137254902
2,4,1,6,4,0,0,3,0,5,1,0,1,3,0,0.907985810307178,0.9009408053338067,52,18,2.731707317073171,2.8780487804878048,2.3469387755102042,2.9591836734693877
0,1,0,3,6,0,3,4,0,1,2,0,9,2,1,0.9248649447850572,0.9113232447716941,4,29,2.5,2.4318181818181817,2.4146341463414633,3.024390243902439
3,0,0,1,4,1,4,1,1,2,1,0,4,1,0,0.9188338152515514,0.9142779951988452,9,3,2.902439024390244,2.658536585365854,2.6136363636363638,2.9318181818181817
4,3,0,3,2,0,2,4,0,1,2,0,0,3,1,0.9147857380463367,0.9220788317741283,13,7,3.0454545454545454,2.522727272727273,2.5365853658536586,2.682926829268293
3,2,1,4,3,0,5,6,1,1,0,1,2,3,0,0.9062581768588011,0.9225435622706853,10,5,2.707317073170732,2.951219512195122,2.7884615384615383,2.326923076923077
2,1,0,3,2,0,2,3,1,0,2,0,3,2,1,0.9130675882992386,0.915196520983573,1,2,2.2439024390243905,2.4634146341463414,2.5319148936170213,2.8085106382978724
2,0,0,3,2,0,1,2,1,1,2,1,4,0,1,0.9083551655837222,0.9021299105270519,26,16,2.5681818181818183,2.3863636363636362,2.7555555555555555,2.977777777777778
1,4,0,3,4,0,3,4,1,1,2,0,4,3,0,0.9067779225939343,0.9104782517150444,53,30,2.975609756097561,2.7560975609756095,2.5,2.75
5,1,1,2,3,0,2,1,0,8,1,0,2,5,0,0.9248649447850572,0.9009654022652572,4,12,2.5,2.4318181818181817,2.2195121951219514,2.731707317073171
3,6,0,2,3,0,3,4,0,3,2,1,3,4,1,0.9193838033455951,0.9134396965739326,19,21,2.588235294117647,2.4313725490196076,2.6341463414634148,2.7804878048780486
4,3,0,4,6,1,0,6,1,1,4,0,1,5,1,0.9182415654588609,0.9056603091302774,2,9,3.0217391304347827,2.5217391304347827,2.8536585365853657,3.3658536585365852
2,3,0,3,4,1,1,0,0,0,4,0,4,3,1,0.9062806767797283,0.8989572246030405,28,20,2.9056603773584904,2.6037735849056602,2.4878048780487805,3.292682926829268
3,4,1,3,2,0,3,1,1,4,1,0,1,2,1,0.9153287942272692,0.9187198551706949,17,1,2.627906976744186,2.4651162790697674,2.2439024390243905,2.6097560975609757
0,2,0,4,3,1,1,3,1,1,4,1,4,3,0,0.9130611167499265,0.9225435622706853,3,5,3.046511627906977,2.5348837209302326,2.7884615384615383,2.326923076923077
3,2,1,5,3,1,4,3,0,6,1,1,1,4,1,0.9126606183018093,0.9022412518068254,23,22,2.341463414634146,2.8780487804878048,2.292682926829268,3.1951219512195124
1,3,1,2,4,0,4,2,0,2,3,1,4,1,0,0.9062581768588011,0.9113232447716941,10,29,2.707317073170732,2.951219512195122,2.4146341463414633,3.024390243902439
2,4,0,4,2,1,3,4,0,5,2,1,3,5,0,0.9233300130769075,0.9224099924262099,15,13,3.0425531914893615,2.1702127659574466,2.7045454545454546,2.4318181818181817
3,4,1,3,2,0,0,3,0,0,5,0,4,2,1,0.898618516479266,0.9134396965739326,25,21,3.2291666666666665,2.6666666666666665,2.6341463414634148,2.7804878048780486
3,1,1,4,3,0,3,7,1,3,0,1,2,1,0,0.9192448990071995,0.9220788317741283,14,7,2.96,2.42,2.5365853658536586,2.682926829268293
2,3,0,3,5,0,3,4,1,1,6,0,4,1,0,0.906104742590348,0.9150215194265979,22,23,2.658536585365854,2.7804878048780486,2.317073170731707,3.048780487804878
2,1,1,2,4,0,2,1,0,1,4,0,3,4,0,0.9241089175725934,0.916512110745902,24,26,2.7777777777777777,2.1333333333333333,2.86046511627907,2.4651162790697674
5,2,0,1,4,0,1,4,1,4,2,1,7,2,0,0.9148083825741585,0.9113232447716941,5,29,3.2037037037037037,2.537037037037037,2.4146341463414633,3.024390243902439
1,0,0,1,3,1,2,5,1,3,5,0,0,4,1,0.9188338152515514,0.9194916324780823,9,6,2.902439024390244,2.658536585365854,3.1463414634146343,2.4634146341463414
4,0,1,3,6,0,4,1,1,3,5,0,2,1,0,0.910303926790141,0.9142779951988452,8,3,2.5609756097560976,2.5121951219512195,2.6136363636363638,2.9318181818181817
3,2,1,0,4,0,3,6,1,5,4,0,2,1,1,0.9151413168062876,0.9196060864357388,30,19,2.7954545454545454,2.409090909090909,2.9215686274509802,2.607843137254902
5,2,0,3,4,1,1,6,1,2,3,1,3,2,0,0.906104742590348,0.9202419891891026,22,28,2.658536585365854,2.7804878048780486,3.056603773584906,2.4150943396226414
4,2,1,5,4,1,1,7,0,4,1,0,3,2,0,0.9233300130769075,0.899675032253268,15,10,3.0425531914893615,2.1702127659574466,2.1219512195121952,3.048780487804878
5,4,1,3,2,1,0,1,0,2,5,0,1,6,0,0.9241089175725934,0.8989572246030405,24,20,2.7777777777777777,2.1333333333333333,2.4878048780487805,3.292682926829268
5,2,0,1,4,0,1,4,1,4,2,1,7,2,0,0.9148083825741585,0.9113232447716941,5,29,3.2037037037037037,2.537037037037037,2.4146341463414633,3.024390243902439
4,1,1,2,3,0,5,4,1,2,3,1,2,5,0,0.9319482607372368,0.9009408053338067,16,18,2.977272727272727,2.1363636363636362,2.3469387755102042,2.9591836734693877
4,0,1,3,6,0,4,1,1,3,5,0,2,1,0,0.910303926790141,0.9142779951988452,8,3,2.5609756097560976,2.5121951219512195,2.6136363636363638,2.9318181818181817
5,2,0,3,4,1,1,6,1,2,3,1,3,2,0,0.906104742590348,0.9202419891891026,22,28,2.658536585365854,2.7804878048780486,3.056603773584906,2.4150943396226414
3,2,1,0,4,0,3,6,1,5,4,0,2,1,1,0.9151413168062876,0.9196060864357388,30,19,2.7954545454545454,2.409090909090909,2.9215686274509802,2.607843137254902
1,0,0,1,3,1,2,5,1,3,5,0,0,4,1,0.9188338152515514,0.9194916324780823,9,6,2.902439024390244,2.658536585365854,3.1463414634146343,2.4634146341463414
4,2,1,5,4,1,1,7,0,4,1,0,3,2,0,0.9233300130769075,0.899675032253268,15,10,3.0425531914893615,2.1702127659574466,2.1219512195121952,3.048780487804878
2,4,0,0,3,0,4,1,0,2,4,0,2,7,1,0.9026949599537822,0.9225435622706853,29,5,2.926829268292683,3.1219512195121952,2.7884615384615383,2.326923076923077
2,3,0,4,0,1,6,3,0,4,5,1,1,2,0,0.9193838033455951,0.9104782517150444,19,30,2.588235294117647,2.4313725490196076,2.5,2.75
4,1,1,2,3,0,5,4,1,2,3,1,2,5,0,0.9319482607372368,0.9009408053338067,16,18,2.977272727272727,2.1363636363636362,2.3469387755102042,2.9591836734693877
5,4,1,3,2,1,0,1,0,2,5,0,1,6,0,0.9241089175725934,0.8989572246030405,24,20,2.7777777777777777,2.1333333333333333,2.4878048780487805,3.292682926829268
0,4,0,6,3,1,1,4,0,5,3,1,1,2,1,0.9130611167499265,0.8951566529432085,3,8,3.046511627906977,2.5348837209302326,2.8292682926829267,3.2439024390243905
2,4,0,4,5,0,7,1,1,1,4,1,2,3,1,0.9062581768588011,0.9177414663690299,10,15,2.707317073170732,2.951219512195122,2.9361702127659575,2.404255319148936
4,3,0,6,1,0,3,2,0,2,3,1,3,2,0,0.9062806767797283,0.9022412518068254,28,22,2.9056603773584904,2.6037735849056602,2.292682926829268,3.1951219512195124
0,1,1,3,1,0,5,2,0,5,3,1,4,0,0,0.9034911437261264,0.9056603091302774,6,9,2.707317073170732,3.1463414634146343,2.8536585365853657,3.3658536585365852
3,6,0,1,4,0,3,2,1,4,5,0,3,2,0,0.9083057879185725,0.9021299105270519,18,16,3.0638297872340425,2.404255319148936,2.7555555555555555,2.977777777777778
2,4,0,0,3,0,4,1,0,2,4,0,2,7,1,0.9026949599537822,0.9225435622706853,29,5,2.926829268292683,3.1219512195121952,2.7884615384615383,2.326923076923077
0,4,0,6,3,1,1,4,0,5,3,1,1,2,1,0.9130611167499265,0.8951566529432085,3,8,3.046511627906977,2.5348837209302326,2.8292682926829267,3.2439024390243905
4,5,0,2,3,0,1,0,1,5,2,1,1,3,0,0.8945393405355543,0.9145988321147641,20,24,3.1463414634146343,3.048780487804878,2.522727272727273,2.5
0,1,1,3,1,0,5,2,0,5,3,1,4,0,0,0.9034911437261264,0.9056603091302774,6,9,2.707317073170732,3.1463414634146343,2.8536585365853657,3.3658536585365852
4,3,0,6,1,0,3,2,0,2,3,1,3,2,0,0.9062806767797283,0.9022412518068254,28,22,2.9056603773584904,2.6037735849056602,2.292682926829268,3.1951219512195124
2,4,0,4,5,0,7,1,1,1,4,1,2,3,1,0.9062581768588011,0.9177414663690299,10,15,2.707317073170732,2.951219512195122,2.9361702127659575,2.404255319148936
4,0,1,3,6,0,4,1,1,3,5,0,2,1,0,0.910303926790141,0.9142779951988452,8,3,2.5609756097560976,2.5121951219512195,2.6136363636363638,2.9318181818181817
5,2,0,1,4,0,1,4,1,4,2,1,7,2,0,0.9148083825741585,0.9113232447716941,5,29,3.2037037037037037,2.537037037037037,2.4146341463414633,3.024390243902439
4,5,0,2,3,0,1,0,1,5,2,1,1,3,0,0.8945393405355543,0.9145988321147641,20,24,3.1463414634146343,3.048780487804878,2.522727272727273,2.5
2,3,0,4,0,1,6,3,0,4,5,1,1,2,0,0.9193838033455951,0.9104782517150444,19,30,2.588235294117647,2.4313725490196076,2.5,2.75
