game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,home_team_id,home_scored_avg,home_conceded_avg,away_team_id,away_scored_avg,away_conceded_avg
5,3,0,1,2,1,4,1,0,0,6,1,4,1,1,15,2.803921568627451,3.2745098039215685,3,2.8395061728395063,3.2839506172839505
5,4,1,2,5,0,4,6,0,0,9,0,1,3,1,20,2.9625,2.6875,6,3.3333333333333335,2.6666666666666665
3,2,1,0,3,0,2,3,0,4,2,1,1,0,1,24,2.7142857142857144,2.7857142857142856,2,3.234567901234568,3.6419753086419755
3,2,1,4,3,0,5,6,1,1,0,1,2,3,0,10,2.8863636363636362,3.340909090909091,5,3.3655913978494625,3.032258064516129
2,1,0,1,6,0,1,0,1,2,3,1,0,3,0,1,3.011627906976744,2.9302325581395348,21,3.1511627906976742,2.883720930232558
1,0,1,4,3,0,4,3,0,2,1,1,2,9,0,29,2.8505747126436782,2.954022988505747,4,3.0114942528735633,3.103448275862069
6,2,1,6,5,0,2,6,1,2,4,0,5,4,0,14,2.857142857142857,3.5,17,2.6049382716049383,3.111111111111111
2,5,0,2,4,0,5,1,1,1,2,0,0,3,0,26,2.4634146341463414,2.8658536585365852,2,3.234567901234568,3.6419753086419755
2,4,0,4,2,1,3,4,0,5,2,1,3,5,0,15,2.803921568627451,3.2745098039215685,13,3.037037037037037,2.9753086419753085
4,1,1,2,3,0,0,3,1,3,6,0,0,1,1,28,2.6666666666666665,3.0919540229885056,7,2.4074074074074074,3.3950617283950617
3,2,1,7,4,1,1,4,0,2,3,1,3,6,0,22,3.2125,2.875,6,3.3333333333333335,2.6666666666666665
6,3,1,4,0,1,4,3,0,7,5,0,0,1,0,16,3.0875,2.8125,53,2.5443037974683542,3.1139240506329116
4,1,0,5,2,0,6,3,0,1,0,0,2,3,0,52,2.5833333333333335,3.375,23,2.675,3.175
1,3,0,1,2,1,2,1,1,3,4,0,3,0,0,12,3.1358024691358026,2.7777777777777777,21,3.1511627906976742,2.883720930232558
4,0,0,2,5,0,4,0,1,1,0,0,4,1,0,25,2.7777777777777777,2.8641975308641974,30,3.0,2.86046511627907
3,1,1,3,2,0,1,0,1,3,5,0,3,2,1,20,2.9625,2.6875,18,3.276595744680851,2.6595744680851063
4,6,1,1,2,0,1,3,1,2,1,1,4,2,0,4,3.103448275862069,3.0114942528735633,1,2.9302325581395348,3.011627906976744
4,2,1,4,2,0,3,4,0,2,4,0,2,4,1,26,2.4634146341463414,2.8658536585365852,7,2.4074074074074074,3.3950617283950617
4,3,1,4,1,0,6,3,1,1,4,0,4,2,0,52,2.5833333333333335,3.375,53,2.5443037974683542,3.1139240506329116
3,2,0,2,3,0,2,1,1,1,5,0,1,4,0,9,3.54320987654321,2.6666666666666665,8,2.54320987654321,3.185185185185185
1,5,1,2,5,1,2,5,0,1,4,0,3,4,1,29,2.8505747126436782,2.954022988505747,16,2.8125,3.0875
5,2,0,2,1,0,4,3,0,1,2,0,3,4,1,13,2.9753086419753085,3.037037037037037,17,2.6049382716049383,3.111111111111111
4,1,1,1,5,0,2,3,0,6,5,1,3,2,0,10,2.8863636363636362,3.340909090909091,19,2.7625,2.6875
1,0,1,3,0,0,4,1,0,1,3,1,3,1,1,30,2.86046511627907,3.0,14,3.5,2.857142857142857
0,4,1,3,6,1,8,5,0,1,3,1,4,3,0,23,3.175,2.675,6,3.3333333333333335,2.6666666666666665
4,0,0,2,3,1,6,2,0,1,3,0,6,3,0,22,3.2125,2.875,18,3.276595744680851,2.6595744680851063
3,5,0,3,2,0,0,4,0,2,1,1,3,2,0,28,2.6666666666666665,3.0919540229885056,2,3.234567901234568,3.6419753086419755
4,5,0,2,4,0,0,2,1,4,5,0,3,4,0,16,3.0875,2.8125,14,3.5,2.857142857142857
4,3,1,3,1,0,3,2,0,2,1,1,1,5,0,3,3.2839506172839505,2.8395061728395063,20,2.6875,2.9625
1,3,1,0,3,0,0,2,1,1,4,0,2,5,0,24,2.7142857142857144,2.7857142857142856,7,2.4074074074074074,3.3950617283950617
4,0,1,4,3,0,2,5,0,2,3,0,4,2,1,4,3.103448275862069,3.0114942528735633,21,3.1511627906976742,2.883720930232558
4,2,1,4,3,0,4,1,0,0,3,0,5,4,1,17,3.111111111111111,2.6049382716049383,12,2.7777777777777777,3.1358024691358026
1,0,1,2,1,0,4,1,1,7,5,0,4,2,0,29,2.8505747126436782,2.954022988505747,53,2.5443037974683542,3.1139240506329116
1,0,0,1,3,1,2,5,1,3,5,0,0,4,1,9,3.54320987654321,2.6666666666666665,6,3.3333333333333335,2.6666666666666665
3,2,0,0,4,0,4,5,0,1,4,1,5,4,1,8,3.185185185185185,2.54320987654321,20,2.6875,2.9625
8,4,0,2,3,1,6,3,0,2,1,0,2,3,0,52,2.5833333333333335,3.375,19,2.7625,2.6875
1,0,1,0,3,0,3,0,0,4,1,0,6,1,1,3,3.2839506172839505,2.8395061728395063,13,3.037037037037037,2.9753086419753085
2,3,1,1,4,0,2,3,0,7,4,1,4,2,0,23,3.175,2.675,15,3.2745098039215685,2.803921568627451
2,3,0,4,3,0,1,2,1,2,1,0,4,2,0,18,2.6595744680851063,3.276595744680851,28,3.0919540229885056,2.6666666666666665
1,3,0,6,5,0,1,2,0,4,1,1,1,2,1,16,3.0875,2.8125,24,2.7857142857142856,2.7142857142857144
1,3,0,5,4,0,2,1,1,4,3,0,1,3,0,25,2.7777777777777777,2.8641975308641974,26,2.8658536585365852,2.4634146341463414
3,4,0,1,2,0,1,3,0,1,5,0,2,1,1,22,3.2125,2.875,5,3.3655913978494625,3.032258064516129
2,3,0,0,4,0,3,2,1,3,4,0,2,1,1,52,2.5833333333333335,3.375,10,3.340909090909091,2.8863636363636362
5,1,1,2,4,0,0,2,1,1,4,1,2,1,0,2,3.6419753086419755,3.234567901234568,13,3.037037037037037,2.9753086419753085
4,0,0,2,1,0,1,7,0,2,1,1,5,6,0,21,2.883720930232558,3.1511627906976742,14,3.5,2.857142857142857
3,0,0,2,1,0,3,2,1,6,0,0,6,5,0,6,2.6666666666666665,3.3333333333333335,4,3.0114942528735633,3.103448275862069
2,3,1,1,2,1,3,2,0,3,4,1,4,7,0,7,3.3950617283950617,2.4074074074074074,8,2.54320987654321,3.185185185185185
1,3,1,3,2,0,1,2,0,1,3,1,3,2,0,1,3.011627906976744,2.9302325581395348,18,3.276595744680851,2.6595744680851063
3,2,0,4,2,0,2,5,0,4,3,1,0,4,1,30,2.86046511627907,3.0,26,2.8658536585365852,2.4634146341463414
5,2,0,3,4,0,4,3,1,2,3,0,4,2,0,16,3.0875,2.8125,3,2.8395061728395063,3.2839506172839505
0,1,0,2,5,1,2,4,0,2,1,1,0,5,0,22,3.2125,2.875,15,3.2745098039215685,2.803921568627451
5,2,1,3,4,0,1,5,0,5,2,0,3,2,1,12,3.1358024691358026,2.7777777777777777,28,3.0919540229885056,2.6666666666666665
3,4,0,3,5,1,3,2,1,2,4,0,7,1,1,17,3.111111111111111,2.6049382716049383,52,3.375,2.5833333333333335
3,2,0,5,2,1,5,4,0,1,4,0,3,5,1,20,2.9625,2.6875,5,3.3655913978494625,3.032258064516129
3,4,0,4,3,1,2,1,0,4,3,0,3,2,0,53,3.1139240506329116,2.5443037974683542,23,2.675,3.175
1,0,1,2,0,1,2,4,0,2,1,1,3,4,0,25,2.7777777777777777,2.8641975308641974,24,2.7857142857142856,2.7142857142857144
1,2,0,1,8,0,4,1,1,4,1,1,2,5,1,19,2.6875,2.7625,29,2.954022988505747,2.8505747126436782
4,3,0,3,4,0,2,5,0,6,5,1,7,1,0,21,2.883720930232558,3.1511627906976742,9,2.6666666666666665,3.54320987654321
0,4,1,3,2,0,2,6,1,3,1,1,3,6,1,18,2.6595744680851063,3.276595744680851,22,2.875,3.2125
4,2,0,4,0,1,2,3,0,4,3,1,1,2,0,10,2.8863636363636362,3.340909090909091,52,3.375,2.5833333333333335
2,1,1,3,4,0,1,3,1,2,3,0,4,3,0,6,2.6666666666666665,3.3333333333333335,8,2.54320987654321,3.185185185185185
4,5,1,5,1,1,2,4,0,0,5,0,4,0,0,29,2.8505747126436782,2.954022988505747,7,2.4074074074074074,3.3950617283950617
0,1,1,6,3,1,7,4,1,1,4,1,6,1,1,4,3.103448275862069,3.0114942528735633,2,3.234567901234568,3.6419753086419755
3,4,0,1,3,1,3,2,0,2,3,0,4,3,0,1,3.011627906976744,2.9302325581395348,13,3.037037037037037,2.9753086419753085
2,1,1,3,2,0,3,4,0,1,3,0,2,7,1,20,2.9625,2.6875,15,3.2745098039215685,2.803921568627451
2,3,0,5,7,0,3,4,0,3,5,1,3,4,0,19,2.6875,2.7625,16,2.8125,3.0875
4,7,1,3,4,1,4,8,0,1,2,1,4,1,0,16,3.0875,2.8125,22,2.875,3.2125
2,4,1,3,1,0,1,0,1,4,3,0,1,4,1,30,2.86046511627907,3.0,21,3.1511627906976742,2.883720930232558
0,2,1,5,3,1,1,4,1,4,1,0,1,4,0,53,3.1139240506329116,2.5443037974683542,14,3.5,2.857142857142857
4,2,1,0,4,0,3,2,0,1,3,0,3,4,1,23,3.175,2.675,5,3.3655913978494625,3.032258064516129
3,2,1,3,4,1,4,2,0,1,0,0,2,1,0,12,3.1358024691358026,2.7777777777777777,2,3.234567901234568,3.6419753086419755
1,4,0,1,4,1,3,4,1,5,4,0,7,3,0,17,3.111111111111111,2.6049382716049383,25,2.8641975308641974,2.7777777777777777
4,2,1,5,4,0,4,3,0,3,4,0,3,2,1,26,2.4634146341463414,2.8658536585365852,3,2.8395061728395063,3.2839506172839505
